iter	Passed	Remaining
0	29	2892
1	47	2339
2	67	2169
3	83	2006
4	101	1932
5	130	2036
6	152	2031
7	177	2045
8	195	1980
9	209	1888
10	224	1816
11	245	1799
12	265	1775
13	281	1731
14	301	1710
15	323	1698
16	365	1784
17	395	1802
18	444	1893
19	512	2051
20	548	2063
21	572	2030
22	590	1977
23	600	1902
24	615	1845
25	627	1785
26	638	1726
27	649	1670
28	666	1630
29	686	1602
30	703	1566
31	719	1529
32	738	1499
33	749	1454
34	766	1423
35	802	1426
36	886	1509
37	906	1478
38	927	1450
39	942	1413
40	959	1380
41	972	1343
42	990	1312
43	1005	1279
44	1029	1258
45	1046	1228
46	1078	1216
47	1107	1200
48	1126	1172
49	1139	1139
50	1152	1107
51	1165	1075
52	1180	1047
53	1201	1023
54	1221	999
55	1235	970
56	1257	948
57	1274	922
58	1292	897
59	1306	870
60	1322	845
61	1337	820
62	1364	801
63	1384	778
64	1405	756
65	1424	734
66	1446	712
67	1468	691
68	1510	678
69	1527	654
70	1544	630
71	1556	605
72	1605	593
73	1621	569
74	1637	545
75	1662	524
76	1740	519
77	1754	494
78	1774	471
79	1789	447
80	1816	426
81	1830	401
82	1846	378
83	1865	355
84	1881	332
85	1895	308
86	1912	285
87	1927	262
88	1943	240
89	1960	217
90	1977	195
91	1995	173
92	2014	151
93	2028	129
94	2128	112
95	2185	91
96	2229	68
97	2270	46
98	2303	23
99	2337	0
