Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,monthly_debt_to_annual_income,part_of_loan_to_pay,months_to_pay,was_bankrupt,was_problems,is_tax_liens,was_delinquent_in_last_month
Own Home,-1.0907175998685268,3 years,-0.1031789807490464,-0.029481981099391662,1.1247945280105918,0.00952159026261359,1.6169031898386654,-0.6963578808234285,2.534295763625736,debt consolidation,Short Term,2.7511385336896237,-0.7308438761079479,-0.8781697653704436,-0.22548813090114228,0.0,0.24252173758883055,0.5738792561522907,-0.7098085643749813,1,1,0,1
Own Home,-0.38806439044876145,10+ years,-0.1031789807490464,0.7877593522170818,-0.4255925203047232,0.5068678420967067,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Long Term,-0.364882036610941,0.3098914628508688,0.0058595277106099405,-0.2336455083525955,1.0,0.44220956172365616,-0.25780999141049193,0.2141168565459844,0,0,0,1
Home Mortgage,-0.7424620319131011,8 years,-0.1031789807490464,-0.029481981099391662,2.351009738950886,0.5075740803952952,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,2.7511385336896237,0.050646303802255765,-0.39325953930619234,-0.23024660108115666,0.0,0.47558734427110977,0.5724225505556081,0.2792589772492952,0,0,0,1
Own Home,-0.6730811695564082,6 years,-0.1031789807490464,-0.6424129810867467,0.5892062749562101,-0.5307507081575594,1.6169031898386654,-0.6963578808234285,2.534295763625736,debt consolidation,Short Term,-0.3693676551627535,-0.5857189253216823,-0.5887619539630885,-0.2628761108869696,0.0,-0.06798831354094068,0.1334501907201819,-0.5628664047272768,1,1,0,1
Rent,-0.7103267033144629,8 years,-0.1031789807490464,0.37913868555884506,-0.6651977914079993,-0.2915566244043799,1.6169031898386654,-0.6963578808234285,-0.3273751528441557,debt consolidation,Short Term,-0.3692288113154556,-0.5933421097220585,-0.9402098744747073,-0.24588157452977535,0.0,-0.7113922782077872,0.16030501698185298,-0.2923350412773554,0,1,0,1
Rent,-0.2027334643907894,7 years,-0.1031789807490464,0.1748283522297267,-0.5242535142884253,-0.3106691983599301,-0.3264900671789613,-0.6963578808234285,-0.3273751528441557,other,Long Term,-0.3626220436905672,-0.376650248669575,0.03282246341123678,-0.23772419707832212,1.0,0.18610731391416244,0.30000216614603836,-0.5384799320002638,0,0,0,1
Home Mortgage,0.23987663680857366,10+ years,-0.1031789807490464,-0.4381026477576284,0.27912886529314723,-0.2892613499339674,-0.3264900671789613,2.528155138612805,-0.3273751528441557,home improvements,Short Term,2.7511385336896237,-0.7181575319192621,-1.3512467281178053,-0.22820725671829337,0.0,-1.738436863183417,0.5738556086784565,0.260741975607485,0,0,0,0
Rent,-0.3692205089234132,10+ years,-0.1031789807490464,0.37913868555884506,-0.8907086347993178,-0.3471949603650521,-0.3264900671789613,0.0987275212293414,-0.3273751528441557,other,Short Term,-0.3653219379093106,-0.6061991222182153,0.12317788116662891,-0.25539851488980414,1.0,0.5864274850897456,0.3761234818072514,-0.798153734563178,0,0,0,0
Home Mortgage,-0.2027334643907894,5 years,-0.1031789807490464,1.1963800188753184,-0.3692148094568938,-0.6786193519245185,1.6169031898386654,-0.6963578808234285,2.534295763625736,home improvements,Short Term,-0.3691071511126252,-0.8726692396164386,-1.5456503397524188,-0.23772419707832212,0.0,-1.9405905395889873,0.574061987716587,-0.9999147911217021,1,1,0,1
Home Mortgage,-0.2027334643907894,1 year,-0.1031789807490464,-0.23379231442851003,0.885189256907316,-0.1656917176278175,-0.3264900671789613,-0.4313294134725052,-0.3273751528441557,debt consolidation,Long Term,-0.35526194509222087,-0.25792199610550753,-0.05837818743821888,-0.23772419707832212,1.0,0.06323143793398044,0.37410163903957167,-0.37201918353950836,0,0,0,0
